"Participant","Ebbinghaus_Strength_Error","Ebbinghaus_Diff_Error","Ebbinghaus_Interaction_Error","Ebbinghaus_Strength_RT","Ebbinghaus_Diff_RT","Ebbinghaus_Interaction_RT","MullerLyer_Diff_Error","MullerLyer_Interaction_Error","MullerLyer_Strength_Error","MullerLyer_Strength_RT","MullerLyer_Diff_RT","MullerLyer_Interaction_RT","VerticalHorizontal_Strength_Error","VerticalHorizontal_Diff_Error","VerticalHorizontal_Interaction_Error","VerticalHorizontal_Diff_RT","VerticalHorizontal_Interaction_RT","VerticalHorizontal_Strength_RT"
"S300",0.2456725,1.05098,0.5739915,-0.0222783,0.2474085,-0.0165635,8.372285,0.0100564,-0.6097745,-0.00625015,0.0894123,0.007973085,0.07280705,-1.491585,0.0503908,0.232677,-0.000538229,-0.0194919
"S301",0.4507545,6.313995,1.82681,-0.0228911,0.1629425,-0.00664571,-2.0668,-0.00472279,0.448536,0.0060632,-0.07986725,-0.006990525,0.0421702,-0.110826,0.0370056,-0.339372,-0.003240235,0.02376695
"S302",-0.537748,-1.553335,-1.0954,0.02453695,-0.3885425,0.02862995,-2.80887,-0.0124567,0.3440555,0.021274,-0.4464085,-0.023271,0.02290885,-2.248695,0.0262141,-0.3276195,0.000190905,0.0071906
"S303",0.3505225,-0.4609775,0.498673,-0.01773095,0.2026535,-0.02888725,-2.315145,-0.002469295,0.299204,-0.00559765,0.1579815,0.004453695,0.05487915,2.054085,0.169385,0.22411,-0.003974705,-0.00586471
"S304",-0.355052,3.64842,-0.4465895,-0.002598935,0.00125576,-0.00243455,-0.5493125,-0.01349445,0.1893245,-0.0100095,0.2827215,0.00990712,-0.0790209,1.818565,-0.1518385,0.4564485,0.00220601,-0.0263137
"S305",-0.340401,6.301455,0.107617,-0.02012875,0.219092,-0.01931515,7.90173,0.00126084,-0.475942,-0.01228495,0.289711,0.0119452,-0.05893725,3.48217,-0.1251165,0.4089605,0.000148791,-0.02400475
"S306",-1.271595,7.024005,-2.4909,-0.04439415,0.425913,-0.0367146,1.05222,-0.01024185,0.151213,-0.008634055,0.374932,0.00513418,0.12263,0.3614145,0.235613,0.3296285,-0.003072115,-0.009324385
"S307",-1.22887,11.87145,-2.057075,-0.03108705,0.363206,-0.02329035,-1.261385,0.000846693,0.0691183,-0.014396,0.2911855,0.017689,-0.02821735,5.103835,0.02158795,0.150239,-0.0001438765,-0.00359266
"S308",-0.3283695,-1.91174,-0.831808,-0.01516865,0.200353,-0.00968317,2.46308,-0.0092068,-0.0128289,-0.00819475,0.337054,0.008148295,0.07208225,-3.2674,0.07035895,0.3163915,-0.003727375,-0.0146551
"S309",0.3309355,2.0073,0.800579,0.02349165,-0.31557,0.02459875,-0.3124075,-0.003863475,0.0365137,0.0162398,-0.370051,-0.0165844,-0.1222995,-1.37671,-0.227544,-0.33342,0.00369625,0.00294466
"S310",0.553869,1.33942,1.42111,0.00122527,0.06530655,-0.00909717,-1.35951,0.003997655,-0.04928895,-0.0140853,0.312031,0.0160878,0.08482275,-2.865025,0.120874,-0.2349325,-0.0002784755,0.0187111
"S311",-0.125894,3.172995,0.02480445,-0.0374493,0.49235,-0.0613559,5.233785,-0.01641625,0.0390164,-0.00897492,0.5503315,0.00334823,-0.132622,4.372415,-0.251693,0.6351265,-0.002730945,-0.0307701
"S312",0.3176345,6.295955,1.01011,0.01811305,-0.3864275,0.0525398,-4.684675,0.006105625,0.09488435,0.009481515,-0.37537,-0.00593569,0.0820435,-1.969205,0.0880779,-0.463784,0.00305375,0.01206375
"S313",-0.5731775,0.288289,-1.11532,-0.0199199,0.184472,-0.003815545,-3.39157,-0.00156968,0.1762645,-0.003912595,0.0432509,0.0044577,0.117377,-1.71831,0.2319805,0.10741,-0.002303675,0.00657777
"S314",-0.0743514,-4.441005,-0.5834865,-0.01172915,0.220926,-0.03263445,-2.880365,0.009792465,0.09081225,-0.01193105,0.342328,0.0121456,0.1893115,-1.046915,0.4484565,0.02912455,-0.000544191,0.01045675
"S315",0.746526,-2.26679,1.208015,0.0391662,-0.1635145,-0.009851105,-5.238135,0.00605336,0.08957245,5.70056e-06,-0.03092935,0.001450145,0.08033145,-2.793445,0.09012455,0.08336965,0.001636275,0.00496401
"S316",0.06178145,-3.40022,-0.1261885,-0.00760685,0.3053355,-0.0369849,9.205165,0.002615135,-0.514173,-0.0133302,0.4407835,0.0111444,0.0146154,5.56431,0.1559435,0.7130145,0.0007048945,-0.02808155
"S317",0.767637,-6.575015,0.8118715,-0.01246575,0.236775,-0.02167925,-2.6646,-0.001983265,0.064895,-0.008868025,0.1257105,0.01314545,0.00952584,-1.01243,-0.01634945,0.137624,0.00115808,-0.00435944
"S318",0.5195145,-4.81807,0.4677875,0.0518389,-0.605223,0.07675385,-1.09194,0.01518475,-0.0989236,-0.009521115,-0.387178,0.0223961,-0.007795215,-3.99602,-0.01872145,-0.5374775,0.00824076,-0.000611634
"S319",-0.801045,11.05775,-0.627153,0.02821055,-0.3427565,0.03655155,8.03885,0.01420205,-0.472742,-0.00808608,-0.06504515,0.01210965,-0.1661745,11.16895,-0.1010315,0.0546821,0.0009112445,0.001441095
"S320",-1.069375,3.77398,-2.10405,-0.02110885,0.4454185,-0.0436563,6.395345,0.003774135,-0.38943,-0.007942865,0.291416,0.00558428,0.0261696,3.122965,0.06031535,0.4123955,5.323015e-05,-0.01642615
"S321",-0.2594255,0.712598,-0.2622615,-0.01585435,-0.08548615,0.0218527,2.01308,-0.000884708,-0.0426771,0.01923045,-0.2845065,-0.0238117,0.03663365,-0.0744552,0.03250865,-0.5641455,0.002290045,0.02331215
"S322",0.392691,-9.798685,-0.1566325,0.02327095,-0.209716,-0.0157018,-3.008245,-0.00417828,0.110348,0.00685505,0.105063,-0.01373735,-0.0386434,-3.969585,-0.07452815,-0.078057,-0.00632528,0.00835773
"S323",0.1614355,1.35412,0.4928915,-0.0814619,0.510563,-0.00129895,-0.154891,-0.01292905,0.278336,0.000119827,0.1389525,-0.003064565,-0.1629445,2.872505,-0.3448715,0.267919,-0.004622645,-0.0100903
"S324",-0.5889905,5.680875,-0.7571675,0.0214008,-0.1089285,-0.000488311,2.53445,0.01154235,-0.162243,-0.00380566,-0.0166845,0.00558287,0.075904,0.944885,0.162273,-0.183988,-0.0009372025,0.0293012
"S325",0.704248,-6.103175,0.640663,0.0422181,-0.5969235,0.07341815,-4.448695,-0.003192115,0.332295,0.03655565,-0.6749035,-0.04130995,0.1035365,-5.010645,0.07479755,-1.240295,0.00112945,0.06204795
"S326",-0.47044,0.3894065,-1.054465,-0.0524511,0.234391,-0.0162645,-2.66227,-0.0002785425,0.228022,-0.0160044,0.445771,0.01528475,0.0593043,-2.43948,0.02761365,0.0808313,-0.0026655,0.002254745
"S327",0.369777,-9.57652,-0.155996,0.0113129,-0.300436,0.03102475,-7.809165,-0.00697637,0.3081545,0.001747685,-0.346545,0.004116195,0.06655815,-6.996155,0.0160114,-0.409834,0.000730497,-0.00150555
"S328",-0.4007345,5.120805,-0.3540585,-0.03059915,0.4161565,-0.0422835,4.539615,-0.0274406,0.09505,-0.01294285,0.323677,0.01314995,0.123111,3.894315,0.327328,0.6853855,8.86479e-05,-0.0316133
"S329",-0.08891075,8.950445,0.43789,0.0870524,-0.798886,0.06525385,1.70726,0.01228,-0.246903,0.01397635,-0.446618,-0.01191955,-0.151622,1.92777,-0.267366,-0.6745025,0.005582815,0.005955365
"S330",-0.4421385,7.10053,-0.228704,-0.03712425,0.171068,-0.0007235405,6.572375,0.0084676,-0.3368155,-0.00905454,0.264296,0.008119205,-0.03582015,2.80584,-0.03149155,0.4002665,4.689325e-05,-0.01922355
"S331",-0.9911675,4.698355,-1.666235,-0.05660825,0.4536605,-0.0239576,6.1084,-0.02110325,-0.1061625,-0.00725501,0.333796,0.004273465,0.0640036,-0.284014,0.1671425,0.5469065,-0.0012867,-0.0203874
"S332",-0.901687,4.817985,-1.69356,-0.00514096,0.0204466,0.004689275,4.085115,-0.00171274,0.141398,-0.0126358,0.2295765,0.01551445,-0.02994605,1.75215,0.00979943,0.1743615,0.00145789,-0.0142725
"S333",-1.1301,3.282325,-2.68794,-0.0280379,-0.1321265,0.0453988,3.410465,-0.00357458,-0.1198575,0.00372963,-0.158692,-0.0024654,0.03951205,5.229425,0.156811,-0.4758245,0.00155605,0.03160115
"S334",-0.22578,6.15764,-0.0147166,0.03073655,-0.2652515,0.00999907,4.80454,0.0127488,-0.3000905,0.006831805,-0.327146,-0.003168135,0.0322878,-2.71031,-0.0136322,-0.2130695,0.00253418,-0.000250278
"S335",-1.478595,7.022175,-3.111725,-0.01016255,0.1629495,-0.02755875,-4.34492,0.001394155,0.167651,-0.0151352,0.340621,0.0165777,-0.08830225,3.79133,-0.1020055,0.3525885,0.0009506515,-0.02208115
"S336",-0.4442805,2.721085,-0.7829825,-0.0310003,0.34076,-0.0196846,-0.770781,-0.0142036,0.107329,-0.005188495,0.0134248,0.007517855,-0.110952,4.86575,-0.02510795,0.2418765,0.000199146,-0.0055024
"S337",0.5985975,5.12297,2.069125,0.01918015,-0.2102875,0.006201105,-0.3750305,0.00184229,-0.159988,-0.00962594,0.0375382,0.01515615,0.03790235,2.287895,0.0751186,-0.114635,0.00043948,0.01513215
"S338",0.967628,1.562835,2.566155,0.0341234,-0.172438,-0.00243858,-4.57392,0.00546329,0.133885,0.01324335,-0.224978,-0.01565765,0.006583645,-2.59784,-0.0359538,-0.3450615,-0.002135205,0.0229721
"S339",-0.2364125,-5.732435,-1.09333,0.0154727,-0.2219525,0.02409925,-4.094525,-0.005559135,0.3274315,-0.005196325,0.0133727,0.00661876,0.00337479,-0.6007355,0.01278885,-0.265555,0.002575175,0.00863155
"S340",1.01386,-5.27831,1.60381,0.0274697,-0.3692125,0.045108,-6.13426,-0.002664735,0.2784695,0.0216186,-0.479237,-0.02363665,0.1799055,-5.63019,0.229856,-0.902644,-0.001510595,0.05986235
"S341",-0.1586385,6.52256,0.438892,-0.04372625,0.3624025,-0.02507195,-0.3127445,-0.00528301,0.198048,-0.002772765,0.24085,-0.0006157915,0.141992,1.70259,0.272005,0.3398835,-0.00157099,-0.002908255
"S342",0.3816555,-3.979575,0.363718,-0.005856115,0.1190185,-0.01789325,3.94389,-0.007248675,-0.1996605,-0.00454348,0.190565,0.002758525,-0.0494048,2.89288,-0.050358,0.4433875,-0.001926385,-0.0123937
"S343",-0.09851245,-2.178405,-0.3412115,-0.003306205,0.136876,-0.0004248225,-0.582092,-0.0167308,0.2992065,0.0159164,-0.2303475,-0.0194392,-0.04253625,-4.31581,-0.1570635,-0.05856525,-0.001756625,0.01077865
"S344",-1.063035,3.16977,-2.410725,-0.04182935,0.239002,0.007224,-1.16037,-0.007975975,0.187893,-0.01279845,0.2963095,0.01374525,-0.14875,2.329985,-0.2318835,-0.0271183,0.00174646,-0.00350539
"S345",0.386789,-2.61376,0.5216375,-0.01615115,0.3142945,-0.05096155,3.634105,0.008207385,-0.2611045,-0.011862,0.286065,0.01217895,0.06968065,-0.5226105,0.1016745,0.380091,0.0001207975,-0.01521735
"S346",-0.152542,-0.551159,-0.414469,-0.0579083,0.375773,-0.004523785,5.30395,0.006364785,-0.30776,-0.00903251,0.3416105,0.007168025,0.00216093,1.23705,0.006805545,0.406213,-0.004904995,-0.00360324
"S347",-0.5245395,2.769885,-0.890507,-0.0310334,0.3679425,-0.0400202,-2.538025,-0.0063959,0.2831495,-0.008337325,0.215448,0.007541855,0.1060135,1.74492,0.233345,0.528501,0.00117231,-0.03444665
"S348",0.365614,0.809369,0.936399,-0.032078,0.2136575,-0.00256575,5.188985,-0.00142121,-0.2679565,-0.00118186,0.1989905,-0.00188435,0.0903103,4.502315,0.307366,0.6060475,-0.0002937895,-0.024369
"S349",-0.162155,-1.68509,-0.3538475,-0.02238065,0.31201,-0.02643285,-1.04037,-0.004199075,0.1804685,-0.006201105,0.192548,0.00617688,0.05289675,0.1600105,0.112278,0.3559435,-0.000933313,-0.01377985
"S350",-0.242121,8.59336,0.275634,-0.0114581,-0.0463117,0.0148986,4.001005,0.005661545,-0.400214,0.00313936,0.03154805,-0.004972695,0.000812534,-0.404165,0.0182975,0.106772,0.000964874,-0.00962415
"S351",0.4965515,-1.46909,0.724012,0.03999295,-0.2673465,0.00626664,0.456083,0.01546185,-0.246572,0.003061165,0.02644965,-0.005715445,0.1519815,-2.34476,0.2547235,-0.559463,-0.0008390795,0.0338487
"S352",-0.788187,1.721115,-1.3753,0.005022695,-0.01585755,-0.008825955,-2.182535,-0.00685337,0.1753765,-0.0003295045,0.0991814,-0.000371253,0.02931205,-1.858935,0.01802335,0.314776,-0.00568566,-0.00429471
"S353",-0.0933151,-4.38481,-0.655402,-0.01801855,0.2484645,-0.0328648,-1.028935,0.00604524,0.0244362,0.002080505,0.220311,-0.00764972,0.1038075,0.1207275,0.251586,0.4169855,-0.001871835,-0.01802825
"S354",-0.0437715,-3.83956,-0.4905275,0.02720895,-0.315672,0.0225403,-3.98137,0.01288225,-0.122698,0.01774555,-0.3778495,-0.0203266,0.0450318,-1.19403,0.1028885,-0.536126,0.0003836225,0.03020855
"S355",0.1451035,-5.312555,-0.18947,-0.0051418,0.0857602,-0.01453615,-2.105705,-0.002314445,0.2201715,-0.00540886,0.1687015,0.004334815,0.1733995,-4.12973,0.242275,-0.486788,-0.00156275,0.03814085
"S356",-0.647643,2.725145,-0.9593235,-0.04114695,0.311143,-0.001337805,11.1244,0.021694,-0.6464025,-0.01662775,0.376125,0.018205,-0.185379,4.432435,-0.284087,0.3352545,0.0001740015,-0.02314505
"S357",-0.472402,-8.029295,-1.7614,-0.01932975,0.00440345,0.0120317,-1.473165,-0.004447405,0.1641245,-0.0141014,0.1240265,0.0187506,0.06738225,-2.085295,0.07646695,-0.0005674815,-0.00240113,2.70249e-05
"S358",-0.4085525,1.238215,-0.679813,-0.005276255,-0.01440175,3.47752e-05,0.7565465,0.002437225,-0.128541,-0.00597189,0.294041,0.00481243,-0.08446755,2.78985,-0.109686,0.0270895,-0.002704945,0.005839485
"S359",-0.3465485,9.76633,0.17967,-0.0105626,0.1244615,-0.0081968,1.80515,0.00046491,0.003567615,-0.005208825,0.0928014,0.005461675,0.1252495,0.554374,0.2621275,0.273182,-0.00137784,-0.001312915
"S360",0.07179985,3.464705,0.5818185,0.03535755,-0.36953,0.007993145,4.44573,0.01012265,-0.6100775,-0.003327855,0.084401,0.003078345,-0.2856605,5.00245,-0.490807,0.11059,0.00130188,-0.00731963
"S361",-0.1905035,-8.06487,-1.191805,-0.02428595,0.1833255,-0.00669525,-1.53564,-0.005686905,0.3331725,-0.007976345,0.379812,0.003819855,0.04425145,0.362171,0.1130835,-0.01646255,-0.00107709,0.01330595
"S362",-0.585207,14.18515,-0.001860035,-0.00284068,0.09639605,-0.003118265,1.279225,-0.0285601,0.313971,0.00871003,-0.1465965,-0.0102731,0.0342487,0.4120725,0.05330755,-0.5271525,-0.0009779835,0.028702
"S363",0.2091585,0.712545,0.2976595,0.1345145,-1.24481,0.1105685,-2.34151,-0.0006746225,0.138841,0.019274,-0.796002,-0.0135085,-0.0423238,-2.330065,-0.07575075,-1.065505,0.001848125,0.04764575
"S364",0.43347,-8.132745,0.00542475,-0.02313975,0.01195625,0.01375335,-5.32383,-0.00240684,0.335728,-0.00784039,0.18142,0.00828307,-0.1198495,-2.46671,-0.243202,-0.198122,-0.002390255,0.02020925
"S365",0.7613265,1.06528,1.898565,0.03539745,-0.206428,0.00155372,-2.3007,0.02160895,-0.2965795,0.003917345,-0.1522425,-0.00156559,0.03451335,-5.880015,-0.00119181,-0.1336935,-0.002108665,0.00778725
"S366",0.0549627,1.777455,0.3360435,-0.01466305,0.2509775,-0.026696,-3.76381,-0.002748835,0.333734,0.003844215,0.00658039,-0.006115295,0.06653405,-0.06987055,0.07572515,0.08974735,-0.00464512,0.005420305
"S367",-0.1917965,1.658975,-0.0180138,-0.03000885,0.415665,-0.03192795,-0.3297985,-0.008385675,0.163019,-0.02206345,0.466188,0.02510615,-0.136163,5.71745,-0.1558535,0.5002085,-0.000568826,-0.03083665
"S368",0.3899415,-7.466785,-0.0328756,0.002586685,-0.1880395,0.0180884,-2.438385,0.005011375,-0.1917415,0.00323304,-0.0738254,-0.003081145,0.13971,-1.93904,0.2316425,0.1281625,0.000147106,-0.002582395
"S369",0.823364,-1.393735,1.96623,-0.025568,0.1872715,-0.01721215,-4.32158,0.0006162805,0.0440532,0.00873,-0.0901275,-0.0106612,0.0243435,-4.198085,-6.83237e-05,0.3648905,-0.002303105,-0.00982851
"S370",1.08966,3.136105,3.16953,0.0033366,-0.08176945,-1.409705e-05,-0.6981775,0.0145832,-0.3441395,0.0067167,-0.124335,-0.00737473,0.1043315,-4.111825,0.1386825,-0.0262898,-0.008705095,0.0243456
"S371",0.5358155,-1.087545,0.7541285,-0.0313764,0.3044705,-0.0237441,-2.60753,-0.00431725,0.1642015,-0.00952301,0.2293645,0.01054145,0.0538689,2.443185,0.1129745,0.354834,-0.000680862,-0.008828845
"S372",-0.09933285,-3.878045,-0.3978125,-0.03309355,0.1838775,-0.0009419325,-1.5126,-0.009012345,0.3406995,-0.009731985,0.202797,0.01128045,-0.06302205,-0.8542035,-0.1469285,0.2587875,-0.001100775,-0.00826527
"S373",-0.1193125,6.31385,0.3391975,-0.01085035,0.0558939,0.008421975,0.6653795,-0.00187902,0.07748265,-0.009501145,0.0885989,0.0128203,-0.0320841,1.42766,-0.0124812,0.04734055,0.00088731,-0.0108871
"S374",0.4567605,3.397755,1.423545,0.103039,-1.201485,0.146068,-3.16627,-0.00506351,0.2535705,0.01312395,-0.3535885,-0.01320515,-0.147204,-2.904745,-0.313252,-0.702066,0.004302225,0.01171395
"S375",0.293721,1.864215,0.996548,-0.02739775,0.1086235,-0.000964612,3.04415,0.001784425,-0.1847625,-0.008709295,0.2069195,0.00754622,-0.08123625,3.055685,-0.0744609,0.404245,0.0002329095,-0.0222027
"S376",0.0155113,-4.298935,-0.2169835,-0.03963805,0.210128,-0.00685677,-2.056615,-0.003117365,0.107622,0.00430931,0.0885579,-0.00819176,-0.03818875,0.950203,-0.0791609,0.10787,-0.002229155,0.00490201
"S377",-0.01876905,0.8522355,0.07145955,-0.007457675,-0.0509585,0.012781,-3.34193,-0.0114241,0.2671745,0.00323802,-0.04191855,-0.00349712,0.132655,-0.9976895,0.273464,-0.000313542,-0.00404029,0.0180715
"S378",0.5553265,-5.56193,0.5319785,0.0835175,-0.930927,0.0980793,-4.003295,-0.00576849,0.2673,0.02008655,-0.4446505,-0.0218328,-0.13822,-2.08076,-0.2850965,-0.5453375,-0.00174935,0.03306995
"S379",-0.827779,-1.93262,-2.18594,-0.0297877,0.241637,-0.02200985,-4.33352,0.00579269,0.1918255,-0.00807343,0.33108,0.004558045,0.15272,-2.846695,0.274723,0.2469755,-0.002190255,-0.009814045
"S380",0.3062325,-2.04608,0.4915815,-0.0198326,0.3815065,-0.03206225,-0.5739695,0.008695495,-0.233715,-0.0156741,0.3109345,0.01674995,-0.008189495,0.7864045,-0.00536782,0.53288,0.00354946,-0.0369718
"S381",0.119359,1.333095,0.374839,0.00846418,-0.09733625,0.000903579,3.02674,0.03051355,-0.5834695,0.00870337,-0.102339,-0.0126503,0.1379435,-7.909695,0.0954101,-0.194766,-3.09262e-05,0.002328075
"S382",0.593259,-10.08425,0.1036175,0.0227776,-0.08267815,-0.000843706,-4.76915,-0.00704877,0.2418495,0.0152434,-0.432428,-0.01388075,-0.138146,0.4955805,-0.2250765,-0.2370485,0.008123405,-0.01166805
"S383",0.5471205,-4.342395,0.50162,0.038975,-0.4211845,0.0244442,-2.11722,0.001174445,0.104367,0.006918045,-0.573543,0.001018425,0.053346,1.485645,0.115002,-1.022465,0.008006055,0.0357141
"S384",-1.33695,11.5846,-1.843895,-0.02717125,0.2349495,-0.001157955,-3.01198,0.000546717,0.1661185,-0.01806015,0.137268,0.0245351,-0.312746,8.547545,-0.4365175,0.5607985,0.00299711,-0.0404827
"S385",-0.10635,8.240055,0.4620905,0.01108845,-0.0243729,-0.001568585,-1.52444,0.0108995,-0.1712065,0.0066465,-0.118783,-0.008631025,-0.0582906,-0.564391,-0.113752,-0.1865135,-0.000806445,0.01083675
"S386",-0.0842918,1.503545,-0.0308127,-0.01606635,0.2018275,-0.006196095,3.80342,0.021814,-0.4777235,-0.007482145,0.05559045,0.01063835,0.1198785,-0.890628,0.2199845,0.1858515,0.000424924,-0.01547975
"S387",1.23258,-6.024015,2.23064,0.006458985,0.05930985,-0.01126875,5.906495,0.0258845,-0.5963815,-0.00358267,0.06978075,0.002976435,-0.0248206,-1.985445,-0.03952915,-0.1718865,-0.00114129,0.006720085
"S388",0.311525,2.658675,0.8230575,-0.02240905,0.175514,-0.01550025,4.176825,0.001642525,-0.303418,-0.00447368,0.2282185,0.0007553155,-0.05821655,-0.3519545,-0.135808,0.239069,-0.00296094,-0.01095815
"S390",1.46909,-2.931235,3.347235,0.005997635,-0.102497,0.003146085,-0.269727,0.00743311,-0.1639525,0.004514665,-0.107759,-0.006257705,0.159835,0.428923,0.37043,0.2583415,0.00221943,-0.0166579
"S391",0.416751,-3.219205,0.4825965,0.00362793,-0.1581475,0.0170984,3.65474,0.00777076,-0.3447965,0.0007400385,-0.0784803,0.000334352,-0.0406151,-0.467295,-0.09999245,0.2777785,-0.00209688,-0.016209
"S392",-0.02877905,-8.1031,-0.6545915,-0.008721295,0.1233625,-0.01284105,-2.32067,-0.004946265,0.3129935,0.00369705,0.04294995,-0.00725241,-0.116126,-0.9607775,-0.2438275,0.1183685,0.0006171565,-0.01972695
"S393",0.042051,-4.20446,-0.287571,-0.01136215,0.123251,-0.009095355,-4.886735,-0.001340165,0.1508745,-0.006015165,0.1343825,0.004272525,0.0973752,-4.48543,0.140745,-0.1975645,-0.005611305,0.01314375
"S394",0.1324095,-1.96575,0.0578259,0.00202862,0.00669012,-0.00959543,0.247436,0.00159472,-0.07228185,-0.00109255,0.221153,-0.004681505,-0.0701045,-2.643145,-0.157005,0.173058,-0.00130475,-0.00752573
"S395",0.9326385,0.05001705,2.36101,-0.01659475,0.2294505,-0.025536,-1.980185,0.003064545,-0.05976315,-0.005562195,0.2036675,0.004288675,-0.05212285,-1.35798,-0.1241205,0.282536,-0.003336705,0.00111381
"S396",-0.10803,4.752255,0.1831635,0.006887855,-0.1763425,0.006226525,0.6201845,0.00645707,-0.247561,-0.00965818,0.0784985,0.01423955,-0.09851795,1.81429,-0.1299155,0.3077165,0.00274956,-0.0180299
"S397",-0.466477,0.7550555,-1.102345,0.0212877,0.113041,-0.0271571,-2.187225,0.004930935,-0.165994,-0.0129392,0.24485,0.01358165,-0.045552,1.99321,-0.0232528,0.3849385,-0.0004648745,-0.0143615
"S398",0.172486,-2.703295,-0.02375195,-0.018572,0.111628,-0.00537245,1.411545,-0.00480253,-0.05680205,-0.0107741,0.20765,0.0127717,0.0301679,0.649691,0.008393215,0.0363756,-0.001463255,0.008387075
"S399",0.066423,1.84054,0.119827,-0.0144699,0.1107345,-0.01002655,-1.85437,-0.001713635,0.01748895,0.00368495,-0.1435435,-0.00392939,0.0939263,-2.55916,0.131126,-0.2049635,-0.00238984,0.0174028
